.py,1,#,2,'' ''',""""""" """"""",,,
.html,1,<!--,1,<!-- -->,,,,
.HTML,1,<!--,1,<!-- -->,,,,
.css,1,/*,1,/* */,,,,
.CSS,1,/*,1,/* */,,,,
.js,1,//,1,/* */,,,,
.JS,1,//,1,/* */,,,,
.sql,1,--,1,/* */,,,,
.SQL,1,--,1,/* */,,,,
.PY,1,#,2,'' ''',""""""" """"""",,,
.java,1,//,2,/* */,/** */,,,
.JAVA,1,//,2,/* */,/** */,,,
.c,1,//,2,/* */,/** */,,,
.C,1,//,2,/* */,/** */,,,
.c++,1,//,2,/* */,/** */,,,
.C++,1,//,2,/* */,/** */,,,
.cc,1,//,2,/* */,/** */,,,
.CC,1,//,2,/* */,/** */,,,
.cxx,1,//,2,/* */,/** */,,,
.CXX,1,//,2,/* */,/** */,,,
.applescript,1,--,1,(* *),,,,
.APPLESCRIPT,1,--,1,(* *),,,,
.ahk,1,;,1,/* */,,,,
.AHK,1,;,1,/* */,,,,
.cs,2,//,///,2,/* */,/** */,,
.CS,2,//,///,2,/* */,/** */,,
.r,1,#,1,<# #>,,,,
.R,1,#,1,<# #>,,,,
.p,1,//,2,{ },{* *},,,
.P,1,//,2,{ },{* *},,,
.pl,1,//,2,{ },{* *},,,
.PL,1,//,2,{ },{* *},,,
.pas,1,//,2,{ },{* *},,,
.PAS,1,//,2,{ },{* *},,,
.pascal,1,//,2,{ },{* *},,,
.PASCAL,1,//,2,{ },{* *},,,
.d,2,//,///,4,/* */,/** */,/+ +/,/++ +/
.D,2,//,///,4,/* */,/** */,/+ +/,/++ +/
.forth,1,/,1,( ),,,,
.FORTH,1,/,1,( ),,,,
.hs,1,--,1,{- -},,,,
.HS,1,--,1,{- -},,,,
.lhs,1,--,1,{- -},,,,
.LHS,1,--,1,{- -},,,,
.lisp,1,;,1,#| |#,,,,
.LISP,1,;,1,#| |#,,,,
.m,1,%,1,%{ %},,,,
.M,1,%,1,%{ %},,,,
.mat,1,%,1,%{ %},,,,
.MAT,1,%,1,%{ %},,,,
.curl,1,||,2,|# #|,|foo# #|,,,
.CURL,1,||,2,|# #|,|foo# #|,,,
.cobra,1,#,1,/# #/,,,,
.COBRA,1,#,1,/# #/,,,,
